Nivel,Tempo,Nos
1,0.000000,5
2,0.001000,11
3,0.001001,29
4,0.005989,94
5,0.009000,86
6,0.002075,30
7,0.008924,110
8,0.026007,305
9,0.023993,329
10,0.015001,230
11,0.031000,380
12,0.058000,408
13,0.068512,449
14,0.059953,430
15,0.372322,2105
16,0.168993,1045
17,0.317998,1732
18,0.401006,2019
19,0.151993,894
20,0.075009,434
21,0.073001,449
22,0.454998,2292
23,0.220006,1417
24,0.226995,1173
25,4.702134,13608
26,0.968351,4589
27,0.754042,3393
28,0.522709,2705
29,0.211998,1667
30,0.546181,3067
31,1.548038,7213
32,0.964705,4432
33,0.048710,297
34,1.027072,4632
35,1.437999,6413
36,0.183535,1022
37,0.049878,314
38,3.638276,13897
39,2.142670,7553
40,0.183993,1101
41,0.246006,1329
42,0.021993,165
43,0.171000,936
44,0.510175,2656
45,0.425328,2029
46,0.164001,957
47,0.235588,1239
48,0.126098,685
49,0.257973,1409
50,0.520071,2521
51,0.518991,2515
52,1.147281,5366
53,0.630009,3123
54,0.428999,2280
55,1.558998,6536
56,1.448470,6476
57,0.383999,2004
Tempo Total: 30.498048
